labels[0][:40]: tensor([ 2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,  4339,
         1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,  1001,
         1001,  7899,  1024,  2424,  1996,  3872,  1997,  1037,  3482,  2007,
         1037,  3091,  1997,  2260,  4642,  1010,  1037,  9381,  1997,  1020])
unique labels: tensor([    0,   102,  1000,  1001,  1006,  1007,  1008,  1010,  1012,  1013,
         1016,  1018,  1020,  1024,  1027,  1029,  1037,  1055,  1060,  1996,
         1997,  1998,  1999,  2000,  2003,  2004,  2005,  2006,  2007,  2008,
         2011,  2015,  2019,  2022,  2023,  2028,  2031,  2034,  2035,  2036,
         2038,  2048,  2049,  2052,  2057,  2059,  2064,  2065,  2075,  2116,
         2117,  2129,  2144,  2146,  2148,  2168,  2193,  2217,  2224,  2260,
         2292,  2342,  2424,  2445,  2515,  2582,  2592,  2623,  2742,  2773,
         2917,  2965,  3073,  3091,  3180,  3370,  3433,  3482,  3568,  3594,
         3640,  3807,  3872,  3903,  3972,  4171,  4229,  4339,  4420,  4578,
         4642,  4708,  4800,  5227,  5577,  6123,  6146,  6251,  6928,  7446,
         7899,  7953,  8818,  8836,  9381,  9611, 10174, 11915, 11919, 12720,
        12739, 12870, 13443, 15187, 16892, 18107, 18119, 18223, 21646, 22086,
        23263, 24841, 26572, 28123])
ignore_index in CE: -100
Synthetic loss: 441.17724609375
step=0033 | loss=29.682636 | lr=4.94e-05 | grad_norm=13.06 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0034 | loss=44.892838 | lr=4.94e-05 | grad_norm=22.51 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0035 | loss=39.747658 | lr=4.94e-05 | grad_norm=17.71 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0036 | loss=48.684662 | lr=4.93e-05 | grad_norm=19.75 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0037 | loss=37.057064 | lr=4.93e-05 | grad_norm=14.20 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0038 | loss=39.277214 | lr=4.93e-05 | grad_norm=16.30 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0039 | loss=30.335514 | lr=4.92e-05 | grad_norm=12.08 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0040 | loss=48.007931 | lr=4.92e-05 | grad_norm=18.88 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0041 | loss=29.665171 | lr=4.91e-05 | grad_norm=12.07 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0042 | loss=24.400709 | lr=4.91e-05 | grad_norm=9.06 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0043 | loss=21.859085 | lr=4.91e-05 | grad_norm=9.83 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0044 | loss=29.540920 | lr=4.90e-05 | grad_norm=13.28 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0045 | loss=10.811790 | lr=4.90e-05 | grad_norm=4.99 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0046 | loss=25.688095 | lr=4.89e-05 | grad_norm=9.24 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0047 | loss=26.811550 | lr=4.89e-05 | grad_norm=21.05 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0048 | loss=32.413216 | lr=4.88e-05 | grad_norm=15.89 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0049 | loss=43.119850 | lr=4.88e-05 | grad_norm=17.73 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0050 | loss=16.635187 | lr=4.87e-05 | grad_norm=7.78 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0051 | loss=27.484940 | lr=4.87e-05 | grad_norm=11.73 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0052 | loss=19.760614 | lr=4.86e-05 | grad_norm=7.82 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0053 | loss=21.184772 | lr=4.86e-05 | grad_norm=7.33 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0054 | loss=29.467525 | lr=4.85e-05 | grad_norm=17.27 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0055 | loss=21.297825 | lr=4.85e-05 | grad_norm=7.33 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0056 | loss=13.113869 | lr=4.84e-05 | grad_norm=5.98 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0057 | loss=21.731022 | lr=4.84e-05 | grad_norm=10.04 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0058 | loss=20.889202 | lr=4.83e-05 | grad_norm=9.07 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0059 | loss=30.293610 | lr=4.82e-05 | grad_norm=12.68 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0060 | loss=23.691757 | lr=4.82e-05 | grad_norm=7.94 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0061 | loss=20.760197 | lr=4.81e-05 | grad_norm=13.06 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0062 | loss=19.888031 | lr=4.81e-05 | grad_norm=6.17 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0063 | loss=23.378994 | lr=4.80e-05 | grad_norm=9.05 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0064 | loss=23.123562 | lr=4.79e-05 | grad_norm=8.68 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0065 | loss=29.368069 | lr=4.79e-05 | grad_norm=10.67 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0066 | loss=27.205286 | lr=4.78e-05 | grad_norm=7.84 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0067 | loss=31.664082 | lr=4.78e-05 | grad_norm=12.29 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0068 | loss=22.575466 | lr=4.77e-05 | grad_norm=10.14 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0069 | loss=21.098265 | lr=4.76e-05 | grad_norm=7.78 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0070 | loss=22.911903 | lr=4.76e-05 | grad_norm=12.49 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0071 | loss=23.670654 | lr=4.75e-05 | grad_norm=12.24 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0072 | loss=24.732988 | lr=4.74e-05 | grad_norm=14.05 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0073 | loss=15.760769 | lr=4.73e-05 | grad_norm=5.53 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0074 | loss=22.624781 | lr=4.73e-05 | grad_norm=12.00 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0075 | loss=22.726978 | lr=4.72e-05 | grad_norm=8.75 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0076 | loss=21.873398 | lr=4.71e-05 | grad_norm=8.59 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0077 | loss=28.903862 | lr=4.71e-05 | grad_norm=8.41 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0078 | loss=27.119217 | lr=4.70e-05 | grad_norm=13.08 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0079 | loss=30.229710 | lr=4.69e-05 | grad_norm=11.28 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0080 | loss=4.280916 | lr=4.68e-05 | grad_norm=2.71 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0081 | loss=27.506100 | lr=4.68e-05 | grad_norm=9.35 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0082 | loss=16.903774 | lr=4.67e-05 | grad_norm=7.59 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0083 | loss=12.929007 | lr=4.66e-05 | grad_norm=6.25 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0084 | loss=18.199591 | lr=4.65e-05 | grad_norm=7.99 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0085 | loss=15.969472 | lr=4.64e-05 | grad_norm=7.26 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0086 | loss=21.608713 | lr=4.64e-05 | grad_norm=8.79 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0087 | loss=23.937792 | lr=4.63e-05 | grad_norm=8.52 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0088 | loss=26.250717 | lr=4.62e-05 | grad_norm=8.87 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0089 | loss=18.899214 | lr=4.61e-05 | grad_norm=12.71 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0090 | loss=17.573832 | lr=4.60e-05 | grad_norm=8.77 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0091 | loss=9.769947 | lr=4.59e-05 | grad_norm=4.56 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0092 | loss=13.093843 | lr=4.59e-05 | grad_norm=10.21 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0093 | loss=11.559366 | lr=4.58e-05 | grad_norm=8.51 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0094 | loss=21.492439 | lr=4.57e-05 | grad_norm=9.64 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0095 | loss=10.603996 | lr=4.56e-05 | grad_norm=5.76 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0096 | loss=26.717014 | lr=4.55e-05 | grad_norm=8.75 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0097 | loss=21.160206 | lr=4.54e-05 | grad_norm=6.57 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0098 | loss=18.912453 | lr=4.53e-05 | grad_norm=10.37 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0099 | loss=21.492760 | lr=4.52e-05 | grad_norm=10.13 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0100 | loss=24.677950 | lr=4.51e-05 | grad_norm=11.41 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0101 | loss=21.432474 | lr=4.50e-05 | grad_norm=7.68 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0102 | loss=20.385448 | lr=4.49e-05 | grad_norm=5.72 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0103 | loss=26.864799 | lr=4.48e-05 | grad_norm=10.53 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0104 | loss=16.018986 | lr=4.48e-05 | grad_norm=6.93 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0105 | loss=31.615086 | lr=4.47e-05 | grad_norm=11.13 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0106 | loss=19.529381 | lr=4.46e-05 | grad_norm=9.70 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0107 | loss=13.675474 | lr=4.45e-05 | grad_norm=7.84 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0108 | loss=15.495753 | lr=4.44e-05 | grad_norm=5.43 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0109 | loss=12.275618 | lr=4.43e-05 | grad_norm=3.83 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0110 | loss=14.857929 | lr=4.42e-05 | grad_norm=8.18 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0111 | loss=4.668537 | lr=4.41e-05 | grad_norm=3.15 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0112 | loss=21.233967 | lr=4.40e-05 | grad_norm=7.43 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0113 | loss=14.287916 | lr=4.39e-05 | grad_norm=4.61 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0114 | loss=11.065268 | lr=4.38e-05 | grad_norm=4.62 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0115 | loss=18.069889 | lr=4.36e-05 | grad_norm=14.03 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0116 | loss=8.435818 | lr=4.35e-05 | grad_norm=4.64 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0117 | loss=10.105909 | lr=4.34e-05 | grad_norm=3.92 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0118 | loss=19.343426 | lr=4.33e-05 | grad_norm=9.28 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0119 | loss=23.836220 | lr=4.32e-05 | grad_norm=10.25 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0120 | loss=17.846313 | lr=4.31e-05 | grad_norm=8.85 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0121 | loss=21.983368 | lr=4.30e-05 | grad_norm=8.91 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0122 | loss=21.464134 | lr=4.29e-05 | grad_norm=8.24 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0123 | loss=19.904018 | lr=4.28e-05 | grad_norm=10.09 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0124 | loss=22.626148 | lr=4.27e-05 | grad_norm=9.32 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0125 | loss=17.351477 | lr=4.26e-05 | grad_norm=6.42 | mem_alloc=933.6MB mem_peak=1624.9MB mem_reserved=1868.6MB
step=0126 | loss=8.940274 | lr=4.25e-05 | grad_norm=5.11 | mem_alloc=932.8MB mem_peak=1624.9MB mem_reserved=1868.6MB
