labels[0][:40]: tensor([ 2917,  2003,  2019,  7899,  2008,  5577,  1037,  4708,  1012,  4339,
         1037,  3433,  2008, 23263, 28123,  1996,  5227,  1012,  1001,  1001,
         1001,  7899,  1024,  9699,  2019, 23824, 17653,  2005,  1037,  9927,
         2695,  2006,  7976,  4454,  1012,  1001,  1001,  1001,  3433,  1024])
unique labels: tensor([    0,   102,   999,  1000,  1001,  1002,  1004,  1005,  1010,  1011,
         1012,  1015,  1016,  1017,  1018,  1019,  1024,  1029,  1037,  1055,
         1996,  1997,  1998,  1999,  2000,  2003,  2004,  2005,  2006,  2008,
         2009,  2015,  2016,  2019,  2022,  2023,  2024,  2028,  2034,  2040,
         2047,  2060,  2064,  2088,  2111,  2122,  2155,  2171,  2239,  2256,
         2257,  2274,  2293,  2301,  2327,  2349,  2381,  2383,  2429,  2517,
         2532,  2590,  2641,  2651,  2689,  2695,  2711,  2798,  2917,  2925,
         2928,  3006,  3021,  3054,  3160,  3194,  3238,  3274,  3275,  3325,
         3351,  3433,  3437,  3443,  3449,  3602,  3708,  3832,  4022,  4031,
         4059,  4235,  4276,  4339,  4454,  4518,  4551,  4703,  4708,  4895,
         5076,  5227,  5510,  5577,  5658,  5787,  5876,  6711,  6733,  6795,
         7375,  7461,  7523,  7899,  7976,  8670,  9102,  9699,  9798,  9896,
         9927, 10385, 10709, 10822, 11314, 12098, 12208, 12227, 14078, 14163,
        14378, 14558, 15262, 16950, 17613, 17653, 17826, 19217, 19446, 19738,
        20273, 22234, 22414, 23263, 23824, 25682, 27809, 28123, 28370, 28892])
ignore_index in CE: -100
Synthetic loss: 1504.681884765625
step=0031 | loss=29.811302 | lr=4.95e-05 | grad_norm=45.84 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0032 | loss=15.454165 | lr=4.95e-05 | grad_norm=64.93 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0033 | loss=27.614292 | lr=4.94e-05 | grad_norm=117.22 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0034 | loss=12.494697 | lr=4.94e-05 | grad_norm=59.31 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23274.2MB
step=0035 | loss=26.383636 | lr=4.94e-05 | grad_norm=69.02 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0036 | loss=31.911436 | lr=4.93e-05 | grad_norm=57.61 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0037 | loss=35.480480 | lr=4.93e-05 | grad_norm=45.37 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0038 | loss=55.912430 | lr=4.93e-05 | grad_norm=67.01 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0039 | loss=34.833046 | lr=4.92e-05 | grad_norm=144.46 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0040 | loss=31.679588 | lr=4.92e-05 | grad_norm=133.76 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0041 | loss=39.411568 | lr=4.91e-05 | grad_norm=185.21 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0042 | loss=36.615402 | lr=4.91e-05 | grad_norm=52.54 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0043 | loss=60.178951 | lr=4.91e-05 | grad_norm=173.55 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0044 | loss=45.866718 | lr=4.90e-05 | grad_norm=57.95 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0045 | loss=44.555809 | lr=4.90e-05 | grad_norm=43.29 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0046 | loss=43.157749 | lr=4.89e-05 | grad_norm=44.47 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0047 | loss=31.241302 | lr=4.89e-05 | grad_norm=140.57 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0048 | loss=34.508667 | lr=4.88e-05 | grad_norm=156.11 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0049 | loss=33.333504 | lr=4.88e-05 | grad_norm=182.09 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0050 | loss=52.566460 | lr=4.87e-05 | grad_norm=207.24 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0051 | loss=38.678432 | lr=4.87e-05 | grad_norm=181.18 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0052 | loss=43.381760 | lr=4.86e-05 | grad_norm=152.53 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0053 | loss=48.151943 | lr=4.86e-05 | grad_norm=80.54 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0054 | loss=50.662048 | lr=4.85e-05 | grad_norm=98.41 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0055 | loss=31.810242 | lr=4.85e-05 | grad_norm=37.94 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0056 | loss=42.420998 | lr=4.84e-05 | grad_norm=44.95 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0057 | loss=46.013332 | lr=4.84e-05 | grad_norm=102.09 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0058 | loss=64.995117 | lr=4.83e-05 | grad_norm=202.53 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0059 | loss=53.762863 | lr=4.82e-05 | grad_norm=232.16 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0060 | loss=32.357292 | lr=4.82e-05 | grad_norm=42.51 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
step=0061 | loss=25.237743 | lr=4.81e-05 | grad_norm=26.41 | mem_alloc=16715.8MB mem_peak=20902.9MB mem_reserved=23341.3MB
